env_name	num_envs	n_stack	rollout_size	num_updates	max_grad_norm	icm_beta	value_coeff	entropy_coeff	attention_target	attention_type	reward_type	timestamp
PongNoFrameskip-v0	4	4	5	2500000	0.5	0.2	0.5	0.02	AttentionTarget.NONE	AttentionType.SINGLE_ATTENTION	RewardType.INTRINSIC_AND_EXTRINSIC	2019-10-09 10_01_34
PongNoFrameskip-v0	4	4	5	2500000	0.5	0.2	0.5	0.02	AttentionTarget.ICM	AttentionType.SINGLE_ATTENTION	RewardType.INTRINSIC_AND_EXTRINSIC	2019-10-10 12_25_02
PongNoFrameskip-v0	4	4	5	2500000	0.5	0.2	0.5	0.02	AttentionTarget.ICM	AttentionType.DOUBLE_ATTENTION	RewardType.INTRINSIC_AND_EXTRINSIC	2019-10-11 15_32_22
